sme_id,business_name,revenue,profit_margin,debt_ratio,collateral_value,marketing_spend,employee_count,staff_count,age_of_business,sector,previous_funding_received,previous_funding_amount,default_history,loan_applications_count,funding_requested_amount,expected_roi,project_duration_months,business_stage,collateral_offered,business_registration_uploaded,tax_clearance_uploaded,financial_statements_uploaded,tax_registered,tax_paid_last_year,licenses_required,licenses_up_to_date,total_payroll,cost_per_hire,nssf_contribution_percent,nhif_contribution_percent,staff_turnover_rate,bank_balance,m_pesa_balance,pending_invoices,paid_invoices,late_payments,campaign_spend,clicks,impressions,conversions,target_segment,total_customers,active_customers,repeat_customers,channels_used,owner_age,owner_gender,education_level,employment_status,location,eligible_for_funding,default_risk,business_health_score,revenue_6m_ago,customers_6m_ago,marketing_spend_6m_ago,revenue_growth_6m,revenue_velocity,customer_growth_6m,customer_velocity,customer_retention_rate,customer_activation_rate,customer_acquisition_rate,cash_runway_months,debt_capacity,reinvestment_capacity,revenue_per_employee,operational_leverage,staff_stability,customer_base_growth,market_penetration_velocity,marketing_roi,marketing_efficiency,marketing_intensity,conversion_rate,marketing_growth_potential,has_funding_track,funding_growth_boost,composite_growth_score,predicted_6m_growth_rate,predicted_6m_revenue,current_revenue_category,predicted_revenue_category,will_jump_category,growth_stage
1,SME_1,63049.92192176875,0.1027375207517932,0.1704759592552599,560.527308302662,1592.8381264130044,5,29,17,transport,1,486369.65441165015,0,7,877756.375504838,0.1834536323576019,20,growth,1,1,1,1,1,1,1,1,304667.446882669,27601.56626255714,0.0778702363959539,0.037796746250674,0.1778303455014703,72315.36126608643,31958.309597335963,6,26,44,26984.120162344127,1153,47735,79,low,4734,117,117,mobile,44,male,master,self-employed,Other,0,low,65.3,62622.50331300227,4718.0,2049.500096698817,0.006825319751753421,0.0011375532919589034,0.003391267486222976,0.0005652112477038293,1.0,0.024714828897338403,2.6666666666666665,19.845925454335063,0.8295240407447401,6477.5926618366575,12609.98438435375,0.25219968768707496,0.8221696544985297,0.003391267486222976,0.0005652112477038293,39.58338319271285,0.3703358701861708,0.025263126073167393,0.06851691240242845,1.0,1,1.0,36.9,0.092,68850.51473857148,Small,Small,0,Growing
2,SME_2,47135.9171540534,0.1398836930499137,0.2953194766591374,1157.0208518728796,23465.14981800035,10,8,11,services,0,0.0,0,0,994588.0261534704,0.1437170850639142,19,startup,1,1,1,0,0,1,3,0,108343.31672464048,34375.18080824238,0.054869550412083,0.022710095849606,0.1910938790487894,102629.56137913567,15578.082915734549,11,22,36,43354.84550108288,2219,33547,253,medium,4500,3146,2323,physical,31,male,none,self-employed,Other,1,medium,40.2,44958.15210871972,4394.0,26853.71749112759,0.04843982555304583,0.008073304258840971,0.024123805188893947,0.0040206341981489915,0.7383979656706929,0.6991111111111111,17.666666666666668,30.093648690496757,0.7046805233408626,6593.546166803767,4713.59171540534,0.0942718343081068,0.8089061209512106,0.024123805188893947,0.0040206341981489915,2.0087626765500115,0.11015289233343577,0.49781888705612026,0.11401532221721496,1.0,0,0.0,29.8,0.019,48031.49957998041,Small,Small,0,Stable
3,SME_3,68567.28912085996,0.0945306055300027,0.302702530806667,0.0,46231.14089212643,12,44,12,services,0,0.0,0,2,527644.3633101082,0.0343261545855496,13,growth,0,1,0,0,1,1,1,1,187776.1320649372,7744.505142785261,0.1180451960472785,0.0297357202026618,0.1196902503794388,158216.4648669161,31792.924385940405,2,4,2,21842.547201735077,4326,62706,416,high,3033,1772,1772,mobile,52,female,none,self-employed,Other,1,medium,52.7,65246.20237797948,2958.0,56963.807970970534,0.05090084360222229,0.008483473933703715,0.02535496957403651,0.0042258282623394185,1.0,0.584240026376525,12.5,33.25365054195512,0.697297469193333,6481.707360145659,5713.940760071663,0.11427881520143326,0.8803097496205612,0.02535496957403651,0.0042258282623394185,1.483140753131134,0.09095241916415624,0.6742448401399861,0.09616273693943597,1.0,0,0.0,29.5,0.113,76315.39279151714,Small,Small,0,Growing
4,SME_4,123677.62756244311,0.1284426929252671,0.3708945518765108,1310.2932837833532,19879.59346553233,82,34,3,tech,0,0.0,0,3,111396.9539507504,0.2633667941248558,17,growth,1,1,1,1,1,1,1,1,350711.0554974748,20887.707915511804,0.0546363386068285,0.0364934573807993,0.0900483689515319,187620.25773476236,23155.554143068643,1,48,24,35207.90034935164,594,71479,255,medium,1491,1491,1491,physical,27,female,none,self-employed,Other,1,medium,47.4,115010.11159425919,1437.0,22326.56648124611,0.07536307762887672,0.01256051293814612,0.037578288100208766,0.006263048016701461,1.0,1.0,9.0,20.450826817946183,0.6291054481234892,15885.487538728432,1508.2637507615013,0.030165275015230027,0.9099516310484681,0.037578288100208766,0.006263048016701461,6.221335852610773,0.19770399569276614,0.16073718308911933,0.4292929292929293,1.0,0,0.0,30.7,0.133,140126.75202824804,Medium,Medium,0,Growing
5,SME_5,45495.40906653323,0.0174469733132349,0.094971245507876,0.0,31246.12348942282,58,17,6,beauty,0,0.0,0,5,183193.3856722688,0.1106767216473308,10,startup,0,1,0,1,1,1,3,1,341071.1388093405,34173.610777661685,0.0641323597450054,0.030358178860448,0.1854884100815126,109951.74223076824,47224.637155715776,14,27,18,45186.89408348427,4105,5963,65,medium,4585,1346,1346,online,22,female,highschool,self-employed,Nairobi,0,low,47.6,47965.09200376616,4470.0,32644.280031772232,-0.05148917335630282,-0.008581528892717136,0.025727069351230425,0.004287844891871738,1.0,0.2935659760087241,19.166666666666668,41.4572940728925,0.905028754492124,793.7571878585105,784.4036045954006,0.01568807209190801,0.8145115899184874,0.025727069351230425,0.004287844891871738,1.4560337086913826,0.08985477352279164,0.6867972863751587,0.015834348355663823,0.9999999999999999,0,0.0,29.8,0.167,53093.14238064428,Small,Small,0,Rapid Growth
6,SME_6,45495.67669892571,0.1649305595161057,0.3888850910770995,10464.373108943924,38990.933781157175,21,41,11,agriculture,1,169982.22055499328,0,0,337145.8777032237,0.3462476216394175,31,growth,1,1,1,1,1,1,1,0,283504.15768333065,41723.94534520464,0.0799622145505115,0.0284279407936953,0.0846298856552961,113282.88825633134,18289.40361942537,19,36,36,26708.450042151293,2131,79084,381,medium,572,572,572,physical,58,female,highschool,self-employed,Eldoret,1,low,68.0,42140.127315041,550.0,33398.92225951924,0.07962836369236645,0.013271393948727742,0.04,0.006666666666666667,1.0,1.0,3.6666666666666665,34.70368213132573,0.6111149089229004,7503.627413517669,2166.4607951869384,0.04332921590373877,0.915370114344704,0.04,0.006666666666666667,1.166827061754341,0.0773263913995511,0.8570250320527241,0.17878930079774755,1.0,1,1.0,28.2,0.075,48907.852451345134,Small,Small,0,Growing
7,SME_7,129137.9402908494,0.1500843832753557,0.0,0.0,39196.26395709438,21,4,13,tech,1,339752.44482478965,0,7,121481.88329201537,0.1631067409025969,19,growth,0,1,1,1,1,0,4,0,158215.0753994541,48971.20530387059,0.1153384080772666,0.0206033403051277,0.1057685619062896,23693.91910216906,29639.25642852996,3,29,49,4406.220137461697,1925,77583,362,low,3082,771,771,online,57,male,phd,self-employed,Mombasa,1,low,49.0,141168.23850899082,2956.0,41886.723957220805,-0.08521958158013875,-0.01420326359668979,0.04262516914749662,0.007104194857916103,1.0,0.2501622323166775,21.0,4.955926236139125,1.0,19381.58812600184,6149.425728135686,0.12298851456271372,0.8942314380937104,0.04262516914749662,0.007104194857916103,3.2946492153489007,0.1457369879306612,0.3035224494739118,0.18805194805194805,0.9999999999999999,1,1.0,30.2,0.055,136240.5270068461,Medium,Medium,0,Growing
8,SME_8,73575.97295636221,0.0928037958252266,0.2055173171454284,276.32050440804227,25964.00411976357,65,26,11,transport,1,270095.8847643039,0,1,819034.9896150144,0.1483481066124396,28,growth,1,0,1,1,0,1,4,1,171760.86795956703,10473.3703820336,0.062511601424852,0.0280781049545209,0.1878902776568437,101391.9974841286,42621.66522961163,19,44,37,2712.45747564724,4474,52359,313,medium,1369,1369,915,mobile,24,female,bachelor,self-employed,Nairobi,0,low,50.4,72239.13202210172,1356.0,38021.61375693599,0.018505772381809307,0.0030842953969682178,0.009587020648967551,0.0015978367748279252,0.6683710737764792,1.0,2.1666666666666665,23.488156297842693,0.7944826828545716,6828.129571884633,1131.9380454824955,0.02263876090964991,0.8121097223431563,0.009587020648967551,0.0015978367748279252,2.8337683439341634,0.13438482212889136,0.35288699661726225,0.0699597675458203,1.0,1,1.0,30.3,-0.012,72693.06128088586,Small,Small,0,Stable
9,SME_9,42077.31640768933,0.1961471967902683,0.2267589236322683,16483.279290505794,42897.597270116814,3,5,8,manufacturing,1,198857.8472624557,0,4,310930.4940121131,0.1528508699521281,7,growth,1,1,1,0,1,1,1,1,267912.3281709985,33458.10753305374,0.0779844943649825,0.0315439511770447,0.1743153854033358,138861.0068632505,47983.28440764979,18,28,40,39885.21078065788,2549,26281,409,high,4798,289,289,physical,58,female,none,self-employed,Other,1,low,52.3,41027.57231107494,4737.0,34932.51079839727,0.025586307877422824,0.004264384646237137,0.012877348532826684,0.002146224755471114,1.0,0.0602334305960817,10.166666666666666,53.28599080622619,0.7732410763677318,8253.347661825424,14025.772135896443,0.28051544271792883,0.8256846145966642,0.012877348532826684,0.002146224755471114,0.9808781630061387,0.0683540263051764,1.0194946097436381,0.16045508042369558,1.0,1,1.0,30.8,0.034,43507.945165550766,Small,Small,0,Stable
10,SME_10,64638.19920426138,0.215629909633859,0.3949990239106857,849.2595053150269,19568.904668187348,69,31,10,beauty,0,0.0,0,5,976368.464259468,0.2150190837155192,6,startup,1,1,0,0,1,1,2,0,227523.31204450072,45175.5357947232,0.1192521940742302,0.0287076113049574,0.1720184790078087,41865.12616059127,40159.23423352394,10,13,48,1635.1567241058128,1894,93701,98,medium,713,713,713,online,51,male,phd,employed,Kisumu,1,medium,51.2,59757.983341113446,685.0,23503.877451448207,0.08166634130356182,0.01361105688392697,0.040875912408759124,0.006812652068126521,1.0,1.0,4.666666666666667,15.22771885427915,0.6050009760893142,13937.929053310258,936.7854957139331,0.018735709914278663,0.8279815209921912,0.040875912408759124,0.006812652068126521,3.3031076751751973,0.1459337476823701,0.3027452018944432,0.05174234424498416,1.0,0,0.0,29.4,0.143,73881.46169047075,Small,Small,0,Growing
