sme_id,revenue,profit_margin,employee_count,sector,age_of_business,late_payments,debt_ratio,marketing_spend,credit_history,collateral_value
1,63049.92192176875,0.10273752075179328,24,services,19,1,0.10592739523981606,77.75156531919383,630,12784.010750212126
2,47135.9171540534,0.13988369304991374,51,manufacturing,1,1,0.43515079863031725,217.95332398410125,586,441.4729820182029
3,68567.28912085996,0.0945306055300027,10,agriculture,20,0,0.5202753407828099,87.49873919269076,250,3657.2506052284994
4,123677.62756244313,0.12844269292526717,72,manufacturing,15,0,0.35725871172702395,179.52323028059587,458,770.1942039179407
5,45495.40906653323,0.017446973313234998,21,beauty,18,1,0.2793824164566034,136.85702691592354,467,2013.5390318114155
6,45495.67669892571,0.1649305595161057,70,manufacturing,3,0,0.3369422719458747,51.043152142154334,719,1777.2990978846383
7,129137.9402908494,0.1500843832753557,85,beauty,18,0,0.23391546990901588,70.3335685349799,146,1569.0861776364336
8,73575.97295636221,0.09280379582522665,57,manufacturing,2,0,0.0,205.16626233740666,306,60139.4088009605
9,42077.31640768933,0.19614719679026835,39,services,10,0,0.15311215004934492,97.56760368140658,549,1539.9596179996404
10,64638.19920426138,0.21562990963385908,88,agriculture,11,0,0.29832313267831767,94.9417803398134,582,886.7865071368822
11,42155.58249898453,0.037470809494171795,33,agriculture,24,1,0.15889696725442273,80.54709772152952,739,949.6826306259326
12,42125.649523662534,0.096609265500365,59,agriculture,3,1,0.23803156713460302,82.76380115734992,796,14266.443276681139
13,55436.05917095019,0.09616003551488911,18,beauty,7,0,0.3718768739117241,552.3231072672048,669,250.09641473641196
14,32234.943934585943,0.08420678292237946,56,manufacturing,8,0,0.321753625870874,60.58508195416164,242,949.6235333274784
15,32865.20977718682,0.20806323893522238,92,services,19,1,0.4587712158178445,482.1824630834655,499,26114.19356289035
16,40935.40226925652,0.13643217028590374,57,beauty,18,0,0.3441251307002403,113.91072452111315,196,4298.318944038115
17,36676.63875692987,0.13148396110825725,96,manufacturing,13,0,0.35294561245843015,87.97004914648775,146,3975.40936842942
18,57403.19719616737,0.00972963449152725,76,services,13,0,0.19315660712905805,201.75596057289152,290,73000.36281710837
19,37503.42487395426,0.19447926211464583,48,retail,24,0,0.10033408518879058,154.8462404420474,239,4313.573377167627
20,34212.46215849332,0.0632519123602569,42,transport,19,0,0.23806167824842034,126.72254852182705,714,1030.4189622243741
21,118408.67819944763,0.15419528411864297,27,tech,23,0,0.19092226760206965,176.95702463033436,330,1952.5361859624345
22,45632.539398308,0.16941638565707343,74,manufacturing,12,0,0.27498485536882716,152.8960926314076,439,542.8600416107303
23,51235.57722976878,0.2452461017087056,52,beauty,17,1,0.14009424556719097,124.90104689078225,590,19612.16978676945
24,34150.398969150854,0.05838257206166214,42,manufacturing,22,0,0.4263733105852709,313.7321208239509,148,7057.4747072175205
25,41147.520184561974,0.0,32,agriculture,12,0,0.1903687610229734,46.63813842714974,723,16100.751468675722
26,52213.10715910516,0.16286946813275863,26,tech,13,0,0.24543464679402743,71.39787746112673,552,18388.41071707811
27,35711.078887201074,0.2760357827057598,25,manufacturing,12,0,0.29697118455393506,78.99842109740251,415,1601.4805572025432
28,59191.03100622514,0.23672624470576062,75,transport,19,0,0.46847654199025246,63.66600014473602,421,722.6107691854087
29,40493.637314891654,0.1646761590692238,23,tech,14,0,0.5638039255432294,158.97409866397746,186,2758.4668990963414
30,44583.904812337474,0.11558546700575667,98,services,7,0,0.5741162911670692,222.36844031746708,573,805.0129738054418
31,40481.57679392344,0.20649858176461172,57,tech,13,0,0.10773065694728873,30.87588950412237,381,3817.821737266386
32,160518.9011037012,0.08185176602068718,52,manufacturing,6,1,0.24402892856925046,101.57094720763449,173,16287.37132630914
33,49520.09917899211,0.18334504385493533,87,transport,24,0,0.2154920324321546,114.74005007105323,552,2316.448634659591
34,36348.25073832687,0.1853829111416639,93,manufacturing,19,0,0.35554636915884136,118.07443551923744,146,3733.093908331416
35,76090.51473150012,0.22421469352492157,31,services,19,0,0.34639239048203896,53.08686977375342,687,2589.529753010627
36,35271.406096681756,0.34317620272377547,64,beauty,4,0,0.21254972274510056,115.50840544596949,195,9937.704711567207
37,54581.704105298246,0.1774691177025137,71,manufacturing,19,1,0.20070953868549363,71.6004734592372,130,1094.7993774980368
38,32097.104320315055,0.11437254620047507,33,agriculture,9,1,0.15038493918723786,113.57896417666456,633,110.53482255259
39,34652.85245521256,0.14820979814656038,85,tech,16,0,0.0,37.49838948800456,116,6040.869811354731
40,54278.81503318624,0.0261646866577617,2,retail,4,0,0.10527531997008954,114.20013293834532,311,13118.144562577363
41,72308.75709542117,0.10137008082376592,18,beauty,6,0,0.4300161997776919,83.49386225525322,759,5822.944654398898
