sme_id,business_name,revenue,profit_margin,debt_ratio,collateral_value,marketing_spend,employee_count,staff_count,age_of_business,sector,previous_funding_received,previous_funding_amount,default_history,loan_applications_count,funding_requested_amount,expected_roi,project_duration_months,business_stage,collateral_offered,business_registration_uploaded,tax_clearance_uploaded,financial_statements_uploaded,tax_registered,tax_paid_last_year,licenses_required,licenses_up_to_date,total_payroll,cost_per_hire,nssf_contribution_percent,nhif_contribution_percent,staff_turnover_rate,bank_balance,m_pesa_balance,pending_invoices,paid_invoices,late_payments,campaign_spend,clicks,impressions,conversions,target_segment,total_customers,active_customers,repeat_customers,channels_used,owner_age,owner_gender,education_level,employment_status,location,eligible_for_funding,default_risk,business_health_score
1,SME_1,63049.92192176875,0.10273752075179328,0.1704759592552599,560.527308302662,1592.8381264130044,5,29,17,transport,1,486369.65441165015,0,7,877756.375504838,0.1834536323576019,20,growth,1,1,1,1,1,1,1,1,304667.446882669,27601.56626255714,0.0778702363959539,0.03779674625067408,0.1778303455014703,72315.36126608643,31958.309597335963,6,26,44,26984.120162344127,1153,47735,79,low,4734,117,117,mobile,44,male,master,self-employed,Other,0,low,65.3
2,SME_2,47135.9171540534,0.13988369304991374,0.2953194766591374,1157.0208518728796,23465.14981800035,10,8,11,services,0,0.0,0,0,994588.0261534704,0.14371708506391426,19,startup,1,1,1,0,0,1,3,0,108343.31672464049,34375.18080824238,0.05486955041208307,0.02271009584960604,0.19109387904878944,102629.56137913567,15578.082915734549,11,22,36,43354.845501082884,2219,33547,253,medium,4500,3146,2323,physical,31,male,none,self-employed,Other,1,medium,40.2
3,SME_3,68567.28912085996,0.0945306055300027,0.302702530806667,0.0,46231.14089212643,12,44,12,services,0,0.0,0,2,527644.3633101082,0.03432615458554969,13,growth,0,1,0,0,1,1,1,1,187776.1320649372,7744.505142785261,0.11804519604727853,0.029735720202661825,0.11969025037943885,158216.4648669161,31792.924385940405,2,4,2,21842.547201735073,4326,62706,416,high,3033,1772,1772,mobile,52,female,none,self-employed,Other,1,medium,52.7
4,SME_4,123677.62756244313,0.12844269292526717,0.3708945518765108,1310.2932837833532,19879.59346553233,82,34,3,tech,0,0.0,0,3,111396.9539507504,0.2633667941248558,17,growth,1,1,1,1,1,1,1,1,350711.0554974748,20887.707915511804,0.0546363386068285,0.0364934573807993,0.09004836895153191,187620.25773476233,23155.554143068643,1,48,24,35207.90034935164,594,71479,255,medium,1491,1491,1491,physical,27,female,none,self-employed,Other,1,medium,47.4
5,SME_5,45495.40906653323,0.017446973313234998,0.09497124550787603,0.0,31246.12348942282,58,17,6,beauty,0,0.0,0,5,183193.38567226878,0.1106767216473308,10,startup,0,1,0,1,1,1,3,1,341071.1388093405,34173.610777661685,0.06413235974500549,0.030358178860448018,0.18548841008151262,109951.74223076824,47224.637155715776,14,27,18,45186.89408348427,4105,5963,65,medium,4585,1346,1346,online,22,female,highschool,self-employed,Nairobi,0,low,47.6
6,SME_6,45495.67669892571,0.1649305595161057,0.38888509107709957,10464.373108943924,38990.933781157175,21,41,11,agriculture,1,169982.22055499328,0,0,337145.8777032237,0.3462476216394175,31,growth,1,1,1,1,1,1,1,0,283504.15768333065,41723.94534520464,0.07996221455051152,0.028427940793695337,0.08462988565529617,113282.88825633134,18289.403619425375,19,36,36,26708.450042151293,2131,79084,381,medium,572,572,572,physical,58,female,highschool,self-employed,Eldoret,1,low,68.0
7,SME_7,129137.9402908494,0.1500843832753557,0.0,0.0,39196.26395709438,21,4,13,tech,1,339752.44482478965,0,7,121481.88329201537,0.16310674090259697,19,growth,0,1,1,1,1,0,4,0,158215.0753994541,48971.20530387059,0.11533840807726665,0.020603340305127754,0.10576856190628967,23693.91910216906,29639.256428529956,3,29,49,4406.220137461697,1925,77583,362,low,3082,771,771,online,57,male,phd,self-employed,Mombasa,1,low,49.0
8,SME_8,73575.97295636221,0.09280379582522665,0.20551731714542842,276.32050440804227,25964.00411976357,65,26,11,transport,1,270095.8847643039,0,1,819034.9896150144,0.14834810661243966,28,growth,1,0,1,1,0,1,4,1,171760.86795956703,10473.370382033601,0.06251160142485207,0.02807810495452092,0.1878902776568437,101391.9974841286,42621.66522961163,19,44,37,2712.45747564724,4474,52359,313,medium,1369,1369,915,mobile,24,female,bachelor,self-employed,Nairobi,0,low,50.4
9,SME_9,42077.31640768933,0.19614719679026835,0.2267589236322683,16483.279290505794,42897.597270116814,3,5,8,manufacturing,1,198857.8472624557,0,4,310930.4940121131,0.15285086995212815,7,growth,1,1,1,0,1,1,1,1,267912.3281709985,33458.10753305374,0.07798449436498252,0.03154395117704473,0.17431538540333588,138861.0068632505,47983.28440764979,18,28,40,39885.21078065788,2549,26281,409,high,4798,289,289,physical,58,female,none,self-employed,Other,1,low,52.3
10,SME_10,64638.19920426138,0.21562990963385908,0.39499902391068575,849.2595053150269,19568.904668187348,69,31,10,beauty,0,0.0,0,5,976368.4642594679,0.21501908371551925,6,startup,1,1,0,0,1,1,2,0,227523.31204450072,45175.535794723204,0.11925219407423024,0.02870761130495747,0.1720184790078087,41865.12616059127,40159.23423352394,10,13,48,1635.1567241058128,1894,93701,98,medium,713,713,713,online,51,male,phd,employed,Kisumu,1,medium,51.2
11,SME_11,42155.58249898453,0.037470809494171795,0.3033946279015304,0.0,44434.66073923992,89,7,2,beauty,1,20848.189841651496,0,7,708539.6032932185,0.1133578430117647,26,mature,0,1,1,0,1,1,1,1,192171.6077631423,37261.30368306934,0.092143333831892,0.038852561034196195,0.12962307826241243,26696.009917222447,46841.196500651284,19,7,24,49945.87408623169,4711,81328,283,high,3221,2557,2507,online,42,female,master,employed,Other,1,medium,29.7
12,SME_12,42125.649523662534,0.096609265500365,0.08916554192155698,5824.362092448812,12011.358319777266,64,38,24,retail,1,117228.99201796937,0,2,189961.76285044648,0.13248033306863588,13,growth,1,1,1,0,0,0,3,1,423256.15564923343,33457.98332350318,0.0930208291563178,0.03997432232118381,0.2158576183574244,173350.56909695888,23724.992016322652,4,45,46,6375.444370403682,2087,34954,170,medium,1209,1209,1209,physical,38,male,none,employed,Nairobi,0,low,46.5
13,SME_13,55436.05917095019,0.09616003551488911,0.15225103112744773,4021.521640795522,14010.820349528552,49,20,14,services,1,62660.98794465382,1,8,486521.79400506144,0.2622355798208873,32,growth,1,1,0,1,1,1,2,1,276808.42547305557,14648.988875442414,0.11818905572197363,0.043397101976249866,0.10859430541109438,27400.9290123594,38460.52898714798,19,26,18,38756.896777159775,3471,48061,240,high,3368,1206,38,mobile,46,male,none,self-employed,Nairobi,0,high,53.4
14,SME_14,32234.943934585943,0.08420678292237946,0.329802001432111,15386.862213491453,2656.0312099500547,72,17,16,tech,0,0.0,0,4,477546.5372006547,0.09822836395047801,35,mature,1,1,1,0,1,1,3,1,276380.9403975698,41688.37960687506,0.08542687333635385,0.02557715079580852,0.05318656537337285,183049.87151586267,5637.831897184287,11,5,15,43385.83082775178,1639,36850,74,high,952,952,952,online,40,male,phd,self-employed,Mombasa,1,low,34.9
15,SME_15,32865.20977718682,0.20806323893522238,0.28813989872031653,6115.0285385750985,39779.09182711414,17,13,17,retail,1,65123.99932880384,0,7,502661.4251669612,0.25482277197510134,23,startup,1,1,1,1,1,1,4,0,242625.1652580457,30312.112240289043,0.05017925211740148,0.03856781133117266,0.06760593214386647,58362.972206899685,30096.85753703496,15,6,25,15321.428594699804,3967,54429,109,low,4463,3250,1354,physical,53,male,bachelor,employed,Kisumu,1,medium,59.9
16,SME_16,40935.40226925652,0.13643217028590374,0.213131383554638,818.9603176278198,20852.76181163528,73,14,11,services,1,364871.8362803497,0,3,544977.3472300769,0.2827464085021335,7,growth,1,0,1,0,1,1,3,1,356406.2667930123,10013.730350855216,0.05216857504276404,0.032901787605195576,0.15897368523093736,69342.91544879865,1661.6447445675262,9,25,32,27081.160241121728,3431,15241,215,high,1058,1058,1058,online,21,female,master,self-employed,Other,1,low,56.8
17,SME_17,36676.63875692987,0.13148396110825725,0.2278749315732031,78264.01994560087,11455.830695569952,32,41,2,tech,0,0.0,0,8,50549.620671376244,0.26676398755133396,7,growth,1,1,1,1,1,0,1,1,129042.35861226617,47102.07837790925,0.09769786934439117,0.029686493472217967,0.1503610342431993,107488.02358110125,13742.2797165538,5,41,14,47618.77320785294,709,34390,15,medium,1272,1272,1272,online,28,male,master,self-employed,Kisumu,0,low,38.5
18,SME_18,57403.19719616737,0.00972963449152725,0.40442519957389333,0.0,11589.513880828983,70,25,24,transport,1,45955.41097445023,1,7,692575.103228751,0.22336253736541586,23,growth,0,1,1,1,1,0,4,1,474614.6313121389,49477.58317879652,0.06480578599364514,0.034483240177821825,0.18833629723512763,41680.22341891648,33612.42516431485,11,29,36,47757.745118573046,3468,86545,88,high,176,176,176,physical,50,male,master,self-employed,Eldoret,0,high,40.2
19,SME_19,37503.42487395426,0.19447926211464583,0.2223461140696178,0.0,45069.99706146166,21,43,23,manufacturing,1,408237.72422147705,0,4,497447.9397826744,0.019582734540528113,27,startup,0,1,1,1,0,0,2,0,97075.70072322318,29195.260866615197,0.08349365150432453,0.03443883500048561,0.18336191003165803,139267.9225934079,9406.544217427487,6,16,19,46505.59671724265,1987,54792,278,high,1102,1102,106,physical,51,female,highschool,employed,Eldoret,0,low,57.0
20,SME_20,34212.46215849332,0.0632519123602569,0.286786313395639,12656.018282566061,41695.83002305184,7,31,5,tech,0,0.0,0,2,795146.090891325,0.0789284200422546,12,startup,1,1,1,1,1,1,1,1,369634.89836075145,39941.559233274675,0.08859605793777814,0.039181113511708006,0.1488135731989233,107158.9985800192,10806.977194351142,9,5,4,13745.33437284996,4657,28232,186,high,908,908,759,mobile,29,female,bachelor,self-employed,Mombasa,0,low,35.6
21,SME_21,118408.67819944763,0.15419528411864297,0.6254904882120814,4333.697656832356,27676.544267859164,7,38,16,transport,1,125523.1413031508,0,0,819042.5817952219,0.0644624115674855,21,growth,1,1,1,1,1,1,4,1,366936.2011556979,31249.071765905243,0.09671450789374778,0.036776551249754104,0.08280693589048248,189492.01847939708,4024.2025928758644,15,2,47,2977.166498263856,3001,41585,358,low,4633,2450,1697,mobile,55,female,none,employed,Kisumu,1,medium,30.2
22,SME_22,45632.539398308,0.16941638565707343,0.08644760446741154,5425.374940132885,30805.540020786055,27,27,16,manufacturing,1,448393.77542300726,0,4,245924.4195518831,0.1621622425272749,34,startup,1,1,1,0,1,0,2,1,101271.99669035306,23999.258469598644,0.05586226566446921,0.03893823303942415,0.12321539498974307,182687.33452786552,37622.0115106466,2,18,39,5139.500933675978,1670,36481,290,medium,3459,3459,690,online,44,female,bachelor,self-employed,Nairobi,1,low,49.8
23,SME_23,51235.57722976878,0.2452461017087056,0.02222359026380122,125276.1773491407,23716.27852751455,8,38,2,tech,1,32176.573796570214,0,4,67454.48749824225,0.20312411229779476,20,startup,1,1,1,1,1,1,4,1,496869.2387637331,23409.861517281093,0.10320305776287036,0.04941482996255543,0.12693908027759887,155094.06938926206,22949.3062405469,15,18,23,7093.832709843922,2820,84432,216,high,3635,234,234,mobile,20,male,bachelor,self-employed,Other,1,medium,84.2
24,SME_24,34150.398969150854,0.05838257206166214,0.417538449719791,1973.0145047498859,19583.32714394044,73,42,16,agriculture,0,0.0,0,3,709169.1789900762,0.08089181683151583,17,startup,1,1,1,1,1,1,2,1,65441.2451163563,48394.143450668096,0.11441176104754144,0.04431395363810449,0.23092167471855532,41038.494556672886,44509.534148971965,11,23,5,33583.908035783905,2563,80644,124,medium,2028,2028,531,online,41,female,bachelor,employed,Nairobi,1,medium,51.2
25,SME_25,41147.520184561974,0.0,0.1982035408058845,0.0,45773.84406091658,28,31,5,services,1,378502.9946248719,0,9,978207.5326945968,0.1827322662970671,26,growth,0,1,1,1,1,0,2,1,214110.4845911245,21595.39233945889,0.06790218756632589,0.028761746126493924,0.1452170568224442,46689.39379759847,18750.701230079976,7,27,11,40121.86569708154,4614,66139,168,medium,3046,812,812,physical,24,female,bachelor,self-employed,Eldoret,0,medium,42.3
