sme_id,current_revenue,predicted_6m_growth_rate,predicted_6m_revenue,growth_stage,will_jump_category,current_revenue_category,composite_growth_score,growth_action
1,63049.92192176875,7.4,67707.0,Growing,0,Small,36.9,stability_support
2,47135.9171540534,5.6,49780.0,Growing,0,Small,29.8,stability_support
3,68567.28912085996,9.2,74841.0,Growing,0,Small,29.5,stability_support
4,123677.62756244311,10.3,136403.0,Growing,0,Medium,30.7,growth_support
5,45495.40906653323,13.6,51691.0,Stable,0,Small,29.8,growth_support
6,45495.67669892571,7.7,48994.0,Growing,0,Small,28.2,stability_support
7,129137.9402908494,5.2,135907.0,Growing,0,Medium,30.2,stability_support
8,73575.97295636221,2.1,75113.0,Stable,0,Small,30.3,stability_support
9,42077.31640768933,6.0,44602.0,Growing,0,Small,30.8,stability_support
10,64638.19920426138,10.3,71276.0,Growing,0,Small,29.4,growth_support
11,42155.58249898453,5.2,44362.0,Stable,0,Small,29.7,stability_support
12,42125.64952366253,7.3,45195.0,Growing,0,Small,31.5,stability_support
13,55436.05917095019,-0.1,55398.0,Stable,0,Small,31.1,intervention_required
14,32234.943934585943,3.9,33498.0,Stable,0,Small,31.9,stability_support
15,32865.20977718682,8.3,35580.0,Growing,0,Small,28.4,stability_support
16,40935.40226925652,5.4,43161.0,Growing,0,Small,29.6,stability_support
17,36676.63875692987,8.9,39925.0,Growing,0,Small,31.0,stability_support
18,57403.19719616737,4.7,60117.0,Stable,0,Small,29.9,stability_support
19,37503.42487395426,8.1,40554.0,Growing,0,Small,28.8,stability_support
20,34212.46215849332,9.5,37474.0,Growing,0,Small,27.6,stability_support
21,118408.67819944763,5.9,125387.0,Stable,0,Medium,30.8,stability_support
22,45632.539398308,6.0,48361.0,Stable,0,Small,30.5,stability_support
23,51235.57722976878,1.3,51886.0,Stable,0,Small,37.2,stability_support
24,34150.398969150854,5.6,36074.0,Growing,0,Small,28.3,stability_support
25,41147.52018456197,-1.6,40505.0,Growing,0,Small,26.8,intervention_required
